time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-28T16:35:28.063Z,60.0212,-153.0017,107.3,2.5,ml,,,,0.69,ak,ak0212pufz2p,2021-02-28T16:43:34.181Z,"67 km ENE of Pedro Bay, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-02-28T16:12:05.411Z,30.1611,131.1664,35,4.7,mb,,121,1.477,0.66,us,us7000dedd,2021-02-28T17:18:08.040Z,"55 km ESE of Koseda, Japan",earthquake,7.6,2,0.088,39,reviewed,us,us
2021-02-28T15:50:28.427Z,-5.6689,101.6926,10,4.6,mb,,102,1.809,0.49,us,us7000ded9,2021-03-01T13:56:06.163Z,"216 km SSW of Bengkulu, Indonesia",earthquake,5.8,1.9,0.129,18,reviewed,us,us
2021-02-28T15:22:08.248Z,58.3063,-137.529,1.2,2.6,ml,,,,0.57,ak,ak0212ptrplk,2021-02-28T15:32:06.260Z,"70 km W of Elfin Cove, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-02-28T14:30:15.634Z,30.1738,131.0856,28.12,4.8,mww,,94,1.438,0.61,us,us7000decy,2021-02-28T15:43:27.040Z,"48 km ESE of Koseda, Japan",earthquake,6.7,1.9,0.078,16,reviewed,us,us
2021-02-28T14:18:56.540Z,35.8476667,-121.4541667,9.2,2.88,ml,72,186,0.248,0.09,nc,nc73529321,2021-02-28T23:03:08.361Z,"22km SSE of Lopez Point, CA",earthquake,0.23,0.38,0.056,14,reviewed,nc,nc
2021-02-28T14:05:57.981Z,47.3548,153.0368,79.88,4.5,mb,,124,6.488,0.52,us,us7000decw,2021-02-28T15:18:06.040Z,"Kuril Islands",earthquake,10.8,7.2,0.089,38,reviewed,us,us
2021-02-28T13:46:45.800Z,36.5573333,-117.9995,7.85,3.49,ml,38,48,0.134,0.21,ci,ci39804712,2021-03-01T15:48:33.011Z,"7km ESE of Lone Pine, CA",earthquake,0.21,0.58,0.138,81,reviewed,ci,ci
2021-02-28T13:25:40.655Z,-30.0985,-177.7349,49.04,4.9,mb,,129,0.867,0.59,us,us7000decm,2021-02-28T14:56:42.040Z,"Kermadec Islands, New Zealand",earthquake,9.8,6.5,0.104,31,reviewed,us,us
2021-02-28T13:21:48.556Z,-48.1489,31.8572,10,5,mb,,106,17.834,0.66,us,us7000decj,2021-02-28T14:32:42.040Z,"south of Africa",earthquake,14.8,1.9,0.087,42,reviewed,us,us
2021-02-28T12:42:22.561Z,32.2864,-101.796,5,2.8,mb_lg,,44,0.659,0.64,us,us7000decd,2021-02-28T14:39:08.737Z,"17 km N of Stanton, Texas",earthquake,2,2,0.054,94,reviewed,us,us
2021-02-28T12:26:02.198Z,37.7983,20.7291,10,4.5,mb,,139,1.134,0.81,us,us7000dec9,2021-02-28T12:40:29.040Z,"4 km SW of Katastárion, Greece",earthquake,5.9,1.9,0.113,23,reviewed,us,us
2021-02-28T12:00:13.089Z,34.39983333,-97.42766667,4.89,2.59,ml,95,51,0.05218975859,0.29,ok,ok2021ecwy,2021-03-01T15:49:33.647Z,"9 km SE of Ratliff City, Oklahoma",earthquake,,0.5,0.26,23,reviewed,ok,ok
2021-02-28T11:51:37.420Z,44.3845,-115.2086667,11.28,2.61,ml,15,77,0.245,0.24,mb,mb80489579,2021-02-28T15:07:35.570Z,"28 km NW of Stanley, Idaho",earthquake,0.45,0.76,0.238,15,reviewed,mb,mb
2021-02-28T10:51:27.957Z,37.4291,-115.5139,0,3.4,ml,28,97.65,0.284,0.1365,nn,nn00801429,2021-02-28T13:20:47.161Z,"31 km SE of Rachel, Nevada",earthquake,,1.2,0.18,13,reviewed,nn,nn
2021-02-28T10:44:50.781Z,51.0895,-178.9552,24.16,5.4,mww,,124,0.472,0.9,us,us7000dec0,2021-03-01T10:55:08.254Z,"183 km WSW of Adak, Alaska",earthquake,5.1,3.8,0.053,34,reviewed,us,us
2021-02-28T10:37:08.300Z,35.8385,-121.4558333,8.2,3.16,ml,100,182,0.1979,0.13,nc,nc73529256,2021-02-28T22:18:05.066Z,"22km SSE of Lopez Point, CA",earthquake,0.21,0.4,0.119,46,reviewed,nc,nc
2021-02-28T08:48:19.190Z,35.849,-121.4495,6.44,2.97,ml,68,178,0.2012,0.09,nc,nc73529201,2021-02-28T22:48:06.263Z,"22km SSE of Lopez Point, CA",earthquake,0.24,0.96,0.084,16,reviewed,nc,nc
2021-02-28T08:45:39.170Z,35.8421667,-121.4531667,8.85,3.73,mw,123,183,0.1987,0.1,nc,nc73529196,2021-03-01T08:48:24.017Z,"22km SSE of Lopez Point, CA",earthquake,0.15,0.24,,3,reviewed,nc,nc
2021-02-28T08:24:37.360Z,38.0968323,-118.8996658,9.98,3.07,ml,48,76,0.3371,0.09,nc,nc73529186,2021-02-28T16:25:02.913Z,"16km SE of Bodie, CA",earthquake,0.25,1.03,0.338,22,automatic,nc,nc
2021-02-28T05:17:18.212Z,37.7794,47.6781,10,4.1,mb,,63,2.783,0.5,us,us7000de9z,2021-02-28T05:50:55.040Z,"64 km ENE of Hashtrūd, Iran",earthquake,7.7,1.9,0.114,21,reviewed,us,us
2021-02-28T04:43:40.860Z,38.7903328,-122.7669983,1,2.7,md,47,53,0.01961,0.08,nc,nc73529096,2021-02-28T08:17:56.344Z,"2km NNW of The Geysers, CA",earthquake,0.17,0.28,0.12,40,automatic,nc,nc
2021-02-28T04:41:52.303Z,-22.3775,-68.5092,123.16,4.6,mb,,41,0.648,1.23,us,us7000de9t,2021-02-28T14:05:07.297Z,"43 km ENE of Calama, Chile",earthquake,5.5,5,0.093,34,reviewed,us,us
2021-02-28T04:30:10.661Z,57.0561,-155.1123,37.2,2.5,ml,,,,0.6,ak,ak0212pn9o9a,2021-02-28T05:10:10.040Z,"58 km WNW of Akhiok, Alaska",earthquake,,4.5,,,automatic,ak,ak
2021-02-28T03:36:08.788Z,61.204,-149.3012,7.4,2.6,ml,,,,0.98,ak,ak0212pmpie7,2021-03-01T16:38:30.382Z,"18 km ESE of Elmendorf Air Force Base, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-02-28T02:56:22.520Z,35.906,-117.6915,2.35,2.64,ml,23,47,0.1112,0.18,ci,ci39804392,2021-02-28T03:43:02.172Z,"20km E of Little Lake, CA",earthquake,0.26,0.44,0.171,25,automatic,ci,ci
2021-02-28T02:16:03.469Z,-17.5676,-72.583,9.65,5.5,mww,,143,2.277,1.37,us,us7000de9a,2021-03-01T17:15:45.040Z,"81 km SW of Islay (Matarani), Peru",earthquake,8,4,0.05,39,reviewed,us,us
2021-02-28T00:19:16.737Z,64.0429,-22.1979,10,4.6,mb,,113,0.802,0.86,us,us7000de8w,2021-03-01T00:49:07.740Z,"10 km SW of Álftanes, Iceland",earthquake,5.8,1.9,0.073,55,reviewed,us,us
2021-02-28T00:01:50.857Z,9.4062,-84.536,16.54,4.6,mb,,132,0.62,0.8,us,us7000de8s,2021-02-28T06:18:10.286Z,"25 km SSE of Jacó, Costa Rica",earthquake,3,3.8,0.083,43,reviewed,us,us
2021-02-27T22:36:34.003Z,-24.2731,-67.2027,196.69,4.4,mb,,68,1.591,1,us,us7000de8j,2021-02-28T03:32:51.376Z,"89 km W of San Antonio de los Cobres, Argentina",earthquake,4.9,8.6,0.162,11,reviewed,us,us
2021-02-27T22:13:07.025Z,54.943,-159.4514,21.29,4.3,mwr,,109,0.137,0.77,us,us7000de8d,2021-02-28T00:40:07.591Z,"79 km ESE of Sand Point, Alaska",earthquake,4.7,5.2,0.049,40,reviewed,us,us
2021-02-27T21:13:10.212Z,45.5918,26.5243,129.73,4.1,mb,,41,0.419,1.06,us,us7000de88,2021-02-28T08:19:02.148Z,"12 km NNW of Lopătari, Romania",earthquake,6.2,5.1,0.111,22,reviewed,us,us
2021-02-27T20:28:33.773Z,4.929,-82.696,10,4.8,mb,,81,3.514,0.9,us,us7000de80,2021-02-27T20:43:12.040Z,"south of Panama",earthquake,8.1,1.9,0.044,162,reviewed,us,us
2021-02-27T20:14:11.285Z,-24.6192,-174.8773,10,5.3,mb,,93,5.352,0.87,us,us7000de7t,2021-02-27T20:34:10.040Z,"south of Tonga",earthquake,9,1.9,0.07,69,reviewed,us,us
2021-02-27T20:03:45.328Z,28.8019,86.4553,10.55,4.1,mb,,136,0.896,0.81,us,us7000de7r,2021-02-27T23:37:36.040Z,"100 km NNW of Lobujya, Nepal",earthquake,7.2,2.6,0.111,22,reviewed,us,us
2021-02-27T19:30:06.834Z,51.8866,-166.2959,10,3.4,ml,,224,1.816,0.61,us,us7000de87,2021-02-27T23:27:14.040Z,"210 km SE of Nikolski, Alaska",earthquake,7.4,2,0.115,10,reviewed,us,us
2021-02-27T19:16:58.180Z,42.7111,-103.5681,5,2.6,mb_lg,,81,1.45,0.51,us,us7000de7h,2021-02-27T23:30:09.040Z,"13 km WNW of Crawford, Nebraska",earthquake,3.7,2,0.124,17,reviewed,us,us
2021-02-27T18:59:25.398Z,61.3286,-149.9991,42.1,5.3,mww,,,,0.86,ak,ak0212o88mof,2021-03-01T19:01:30.360Z,"3 km SSW of Point MacKenzie, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-02-27T17:46:05.480Z,36.9420013,-119.2480011,28.99,2.92,ml,35,71,0.1553,0.28,nc,nc73528961,2021-02-28T04:52:50.858Z,"19km SSE of Shaver Lake, CA",earthquake,0.67,1.31,0.38,17,automatic,nc,nc
2021-02-27T16:28:13.536Z,56.5384,-156.5058,70.3,2.9,ml,,,,0.58,ak,ak0212o6v3f1,2021-02-27T19:35:12.040Z,"120 km ENE of Chignik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-02-27T16:18:00.499Z,65.0352,-149.9558,14.7,2.9,ml,,,,0.68,ak,ak0212o6su1n,2021-02-27T19:32:24.040Z,"31 km WSW of Minto, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-02-27T15:16:25.974Z,-54.0978,-59.7401,11.45,4.8,mb,,69,2.63,0.86,us,us7000de65,2021-02-27T17:44:09.260Z,"Falkland Islands region",earthquake,6.6,4.1,0.093,36,reviewed,us,us
2021-02-27T14:57:41.060Z,36.4905,-117.9005,7.28,2.54,ml,16,84,0.09874,0.21,ci,ci39803792,2021-02-28T01:10:43.111Z,"19km SE of Lone Pine, CA",earthquake,0.49,1.33,0.178,26,automatic,ci,ci
2021-02-27T13:33:14.470Z,43.8404,-129.0813,10,4,mb,,231,2.033,0.88,us,us7000de5r,2021-02-28T22:34:03.478Z,"off the coast of Oregon",earthquake,10.7,2,0.3,3,reviewed,us,us
2021-02-27T12:58:39.285Z,-5.746,101.5989,10,4.3,mb,,196,1.929,0.72,us,us7000de5m,2021-02-27T13:21:12.040Z,"227 km SSW of Bengkulu, Indonesia",earthquake,10,1.9,0.143,14,reviewed,us,us
2021-02-27T11:42:54.313Z,-38.8381,175.7342,123.49,4.8,mb,,58,0.76,0.5,us,us7000de5b,2021-02-27T12:01:09.040Z,"18 km NNW of Turangi, New Zealand",earthquake,5.3,6.1,0.111,26,reviewed,us,us
2021-02-27T11:13:02.401Z,44.3844,-114.7195,10,3.7,ml,,71,0.253,0.63,us,us7000de55,2021-03-01T09:02:38.268Z,"25 km NE of Stanley, Idaho",earthquake,1.6,2,0.047,60,reviewed,us,us
2021-02-27T10:43:52.904Z,14.1072,-92.1807,58.83,4.3,mb,,182,0.627,0.62,us,us7000de51,2021-02-27T11:10:26.040Z,"35 km SW of Champerico, Guatemala",earthquake,10.3,12.8,0.047,127,reviewed,us,us
2021-02-27T10:27:41.847Z,14.1829,-92.2214,36.74,4.6,mb,,190,0.613,0.99,us,us7000de4x,2021-02-27T10:44:15.040Z,"35 km WSW of Champerico, Guatemala",earthquake,7.6,9.6,0.031,318,reviewed,us,us
2021-02-27T08:26:35.630Z,38.1565,-117.9768,9.4,2.5,ml,18,49.41,0.014,0.42,nn,nn00801358,2021-02-27T08:42:44.040Z,"28 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2021-02-27T08:20:55.383Z,23.1051,142.971,114.54,4.8,mb,,127,4.036,0.76,us,us7000de4g,2021-02-27T08:39:42.040Z,"Volcano Islands, Japan region",earthquake,8.5,7,0.112,25,reviewed,us,us
2021-02-27T08:19:38.063Z,-23.0794,-67.9048,132.4,4.3,mb,,89,0.282,0.52,us,us7000de4d,2021-02-27T11:29:49.573Z,"35 km ESE of San Pedro de Atacama, Chile",earthquake,5.3,9,0.16,11,reviewed,us,us
2021-02-27T08:17:26.860Z,35.6845,-117.4776667,7.7,3.1,ml,47,70,0.0986,0.14,ci,ci39803680,2021-03-01T16:04:27.801Z,"11km SW of Searles Valley, CA",earthquake,0.14,0.56,0.145,103,reviewed,ci,ci
2021-02-27T08:07:46.875Z,64.0487,-22.1376,10,5.2,mww,,45,0.785,0.83,us,us7000de48,2021-02-28T06:37:13.040Z,"8 km SW of Álftanes, Iceland",earthquake,6.3,1.9,0.089,12,reviewed,us,us
2021-02-27T07:06:39.345Z,-30.4288,-179.4573,297.1,4.3,mb,,124,1.776,1.09,us,us7000de3y,2021-02-27T07:47:14.040Z,"Kermadec Islands region",earthquake,13.6,10.3,0.16,11,reviewed,us,us
2021-02-27T06:59:47.005Z,-43.4304,-83.716,10,4.4,mb,,204,7.344,0.55,us,us7000de3v,2021-02-27T11:32:51.180Z,"West Chile Rise",earthquake,9.6,1.9,0.139,15,reviewed,us,us
2021-02-27T06:53:13.608Z,-0.6777,123.7991,49.93,4.4,mb,,80,1.089,0.78,us,us7000de3t,2021-02-27T07:15:11.040Z,"Sulawesi, Indonesia",earthquake,5.8,8.8,0.13,17,reviewed,us,us
2021-02-27T05:30:44.630Z,18.9936,-65.3225,15,3.23,md,14,317,1.001,0.27,pr,pr2021058004,2021-02-27T06:51:33.040Z,"76 km N of Culebra, Puerto Rico",earthquake,8.42,16.98,0.19,7,reviewed,pr,pr
2021-02-27T04:49:26.957Z,-0.5209,122.0644,10,4.4,mb,,105,0.876,0.77,us,us7000de2n,2021-02-27T05:07:30.040Z,"93 km WNW of Luwuk, Indonesia",earthquake,4.5,1.8,0.149,14,reviewed,us,us
2021-02-27T03:39:05.870Z,32.8236,-109.1383,5,2.8,ml,,65,0.272,0.53,us,us7000de2a,2021-02-27T16:33:48.059Z,"9 km SE of York, Arizona",earthquake,2.8,1.9,0.07,27,reviewed,us,us
2021-02-27T03:00:49.176Z,60.0131,-152.7168,90.6,3.2,ml,,,,0.67,ak,ak0212nyyj7t,2021-02-27T19:15:39.161Z,"55 km W of Happy Valley, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-27T02:32:53.166Z,4.7386,126.2229,91.65,4.5,mb,,115,2.402,1.27,us,us7000de1z,2021-02-27T02:51:18.040Z,"111 km SE of Sarangani, Philippines",earthquake,9,8.1,0.1,29,reviewed,us,us
2021-02-27T02:13:01.910Z,-18.5079,-177.9418,553.86,5.6,mww,,33,3.883,0.92,us,us7000de1v,2021-02-28T02:15:58.882Z,"293 km E of Levuka, Fiji",earthquake,10.3,6.9,0.083,14,reviewed,us,us
2021-02-27T01:26:35.819Z,31.5837,-104.2093,5,2.6,mb_lg,,57,0.262,0.4,us,us7000de1m,2021-02-27T01:37:47.040Z,"49 km NW of Toyah, Texas",earthquake,1.5,1.7,0.117,24,reviewed,us,us
2021-02-27T01:05:23.840Z,19.5383,-64.8155,47,3.65,md,16,315,1.737,0.31,pr,pr2021058000,2021-02-27T05:35:52.169Z,"132 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.84,16.53,0.06,9,reviewed,pr,pr
2021-02-27T01:01:51.526Z,28.4425,-100.3282,5,2.9,mb_lg,,190,0.831,0.65,us,us7000de1k,2021-02-27T01:35:21.061Z,"7 km SSW of El Indio, Texas",earthquake,2.6,2,0.128,37,reviewed,us,us
